iter	Passed	Remaining
655	16816	8818
656	16843	8793
657	16882	8774
658	16915	8752
659	16944	8728
660	16971	8703
661	16999	8679
662	17025	8653
663	17054	8630
664	17084	8606
665	17112	8581
666	17143	8558
667	17171	8534
668	17199	8509
669	17228	8485
670	17257	8461
671	17285	8437
672	17315	8413
673	17341	8387
674	17371	8363
675	17395	8337
676	17419	8310
677	17447	8286
678	17474	8261
679	17503	8236
680	17530	8211
681	17556	8186
682	17584	8161
683	17612	8136
684	17642	8113
685	17672	8088
686	17699	8064
687	17727	8039
688	17754	8014
689	17781	7988
690	17805	7962
691	17835	7938
692	17864	7914
693	17891	7888
694	17916	7862
695	17942	7836
696	17965	7810
697	17996	7786
698	18025	7761
699	18053	7737
700	18080	7712
701	18107	7686
702	18137	7662
703	18167	7638
704	18201	7616
705	18235	7593
706	18264	7569
707	18294	7545
708	18321	7519
709	18348	7494
710	18375	7468
711	18400	7442
712	18429	7418
713	18458	7393
714	18484	7367
715	18510	7342
716	18537	7316
717	18568	7292
718	18595	7267
719	18620	7241
720	18647	7215
721	18674	7190
722	18700	7164
723	18727	7139
724	18752	7112
725	18781	7088
726	18811	7063
727	18838	7038
728	18863	7012
729	18891	6987
730	18915	6960
731	18942	6935
732	18973	6911
733	18999	6885
734	19024	6859
735	19050	6833
736	19078	6808
737	19107	6783
738	19138	6759
739	19161	6732
740	19189	6707
741	19221	6683
742	19246	6657
743	19277	6633
